//X,Y,Z,R,G,B,Classification,Intensity,GpsTime,ReturnNumber,NumberOfReturns,UserData,PointSourceId
-137.15199280,40.02099991,-0.24100000,152,125,98,0.000000,38.000000,-140682.531250,2.000000,3.000000,49.000000,1.000000
-135.69299316,39.83100128,1.98099995,161,129,88,0.000000,12.000000,-140682.515625,1.000000,3.000000,60.000000,1.000000
-135.76400757,39.55500031,-0.27000001,155,128,81,0.000000,21.000000,-140682.515625,2.000000,3.000000,49.000000,1.000000
-135.25599670,39.42499924,-0.27300000,159,129,103,0.000000,12.000000,-140682.515625,1.000000,2.000000,49.000000,1.000000
-134.69099426,39.26100159,-0.27900001,146,127,94,0.000000,16.000000,-140682.500000,1.000000,2.000000,49.000000,1.000000
-133.84700012,39.15000153,1.96599996,167,140,95,0.000000,13.000000,-140682.500000,1.000000,2.000000,60.000000,1.000000
-133.28900146,38.81900024,-0.34700000,154,120,92,0.000000,19.000000,-140682.484375,1.000000,2.000000,48.000000,1.000000
-133.17500305,40.36600113,5.09600019,158,135,101,0.000000,6.000000,-140682.484375,1.000000,2.000000,75.000000,1.000000
-131.95799255,38.54299927,1.98599994,188,157,128,0.000000,6.000000,-140682.484375,1.000000,2.000000,60.000000,1.000000
-131.32099915,38.36899948,1.95500004,174,144,106,0.000000,22.000000,-140682.468750,1.000000,3.000000,60.000000,1.000000
-131.38499451,38.08399963,-0.34200001,160,131,89,0.000000,26.000000,-140682.468750,2.000000,3.000000,48.000000,1.000000
-130.76499939,37.99900055,-0.29899999,176,148,109,0.000000,12.000000,-140682.468750,1.000000,2.000000,48.000000,1.000000
-133.38499451,42.72900009,0.53600001,144,117,87,0.000000,30.000000,-140682.468750,1.000000,2.000000,52.000000,1.000000
-132.87600708,42.57699966,0.54600000,160,129,108,0.000000,17.000000,-140682.453125,1.000000,2.000000,52.000000,1.000000
-132.33000183,42.41999817,0.54200000,168,138,114,0.000000,17.000000,-140682.453125,1.000000,2.000000,52.000000,1.000000
